station_name,station_number,obs_year,obs_doy,cols_diff,obs_datetime,obs_dyly_temp_air_max,obs_dyly_temp_air_min,obs_dyly_temp_air_mean,obs_dyly_relative_humidity_max,obs_dyly_relative_humidity_min,obs_dyly_relative_humidity_mean,obs_dyly_vpd_mean,obs_dyly_sol_rad_total,obs_dyly_precip_total,obs_dyly_wind_spd_mean,obs_dyly_wind_vector_magnitude,obs_dyly_wind_vector_dir,obs_dyly_wind_vector_dir_stand_dev,obs_dyly_wind_spd_max,obs_dyly_derived_eto_azmet,heat_units,obs_dyly_temp_soil_10cm_max,obs_dyly_temp_soil_10cm_min,obs_dyly_temp_soil_10cm_mean,obs_dyly_temp_soil_50cm_max,obs_dyly_temp_soil_50cm_min,obs_dyly_temp_soil_50cm_mean,obs_dyly_derived_eto_pen_mon,obs_dyly_actual_vp_mean,obs_dyly_derived_dwpt_mean
Parker #1,8,2019,60,"obs_dyly_temp_air_max, obs_dyly_temp_air_min, obs_dyly_temp_air_mean, obs_dyly_relative_humidity_max, obs_dyly_relative_humidity_min, obs_dyly_relative_humidity_mean, obs_dyly_vpd_mean, obs_dyly_sol_rad_total, obs_dyly_precip_total, obs_dyly_wind_spd_mean, obs_dyly_wind_vector_magnitude, obs_dyly_wind_vector_dir, obs_dyly_wind_vector_dir_stand_dev, obs_dyly_wind_spd_max, obs_dyly_derived_eto_azmet, heat_units, obs_dyly_temp_soil_10cm_max, obs_dyly_temp_soil_10cm_min, obs_dyly_temp_soil_10cm_mean, obs_dyly_temp_soil_50cm_max, obs_dyly_temp_soil_50cm_min, obs_dyly_temp_soil_50cm_mean, obs_dyly_derived_eto_pen_mon, obs_dyly_actual_vp_mean, obs_dyly_derived_dwpt_mean",2019-03-01,8,24.9,36.2,2,2.4,NA,21.09,15.04,2.19,60,NA,8,25,32.6,1.6,3.7,1.9,NA,28.5,4.8,1.1,NA,NA,NA,9.6
Parker #1,8,2019,60,"obs_dyly_temp_air_max, obs_dyly_temp_air_min, obs_dyly_temp_air_mean, obs_dyly_relative_humidity_max, obs_dyly_relative_humidity_min, obs_dyly_relative_humidity_mean, obs_dyly_vpd_mean, obs_dyly_sol_rad_total, obs_dyly_precip_total, obs_dyly_wind_spd_mean, obs_dyly_wind_vector_magnitude, obs_dyly_wind_vector_dir, obs_dyly_wind_vector_dir_stand_dev, obs_dyly_wind_spd_max, obs_dyly_derived_eto_azmet, heat_units, obs_dyly_temp_soil_10cm_max, obs_dyly_temp_soil_10cm_min, obs_dyly_temp_soil_10cm_mean, obs_dyly_temp_soil_50cm_max, obs_dyly_temp_soil_50cm_min, obs_dyly_temp_soil_50cm_mean, obs_dyly_derived_eto_pen_mon, obs_dyly_actual_vp_mean, obs_dyly_derived_dwpt_mean",2019-03-01,25.7,8.9,17.2,92.6,26.5,61.7,0.91,14.9,0,1.5,0.8,142,56,5.7,3.2,5.3,22.4,13.8,17.5,15.6,14.8,15.1,3,1.15,8.9
Phoenix Greenway,12,2018,220,obs_dyly_precip_total,2018-08-08,38.1,24.2,31.4,80.9,22.2,46.5,2.66,24.08,0,2.1,0.6,179,68,13,7,15.6,37.1,33.8,35.5,32.2,32,32.1,6.9,2.03,17.6
Phoenix Greenway,12,2018,220,obs_dyly_precip_total,2018-08-08,38.1,24.2,31.4,80.9,22.2,46.5,2.66,24.08,0.76,2.1,0.6,179,68,13,7,15.6,37.1,33.8,35.5,32.2,32,32.1,6.9,2.03,17.6
Yuma North Gila,14,1998,352,"obs_dyly_temp_soil_10cm_min, obs_dyly_temp_soil_10cm_mean",1998-12-18,21.7,8,14,100,44.3,81,0.4,12.83,0,2.8,1.4,160,57,9.1,2.5,3.3,15.4,NA,NA,NA,NA,NA,NA,NA,NA
Yuma North Gila,14,1998,352,"obs_dyly_temp_soil_10cm_min, obs_dyly_temp_soil_10cm_mean",1998-12-18,21.7,8,14,100,44.3,81,0.4,12.83,0,2.8,1.4,160,57,9.1,2.5,3.3,15.4,11,12.9,NA,NA,NA,NA,NA,NA
Phoenix Encanto,15,2018,220,obs_dyly_precip_total,2018-08-08,38.6,23.3,31.7,80,22.6,46.1,2.74,21.85,0,2.1,0.5,205,70,12.2,6.4,15.2,32.6,29,30.6,30.3,29.1,30,6.6,2.04,17.7
Phoenix Encanto,15,2018,220,obs_dyly_precip_total,2018-08-08,38.6,23.3,31.7,80,22.6,46.1,2.74,21.85,3.3,2.1,0.5,205,70,12.2,6.4,15.2,32.6,29,30.6,30.3,29.1,30,6.6,2.04,17.7
Harquahala,23,1996,324,"obs_dyly_temp_air_max, obs_dyly_temp_air_min, obs_dyly_temp_air_mean, obs_dyly_relative_humidity_max, obs_dyly_relative_humidity_min, obs_dyly_relative_humidity_mean, obs_dyly_vpd_mean, obs_dyly_sol_rad_total, obs_dyly_wind_spd_mean, obs_dyly_wind_vector_magnitude, obs_dyly_wind_vector_dir, obs_dyly_wind_vector_dir_stand_dev, obs_dyly_wind_spd_max, obs_dyly_derived_eto_azmet, heat_units, obs_dyly_temp_soil_10cm_max, obs_dyly_temp_soil_10cm_min, obs_dyly_temp_soil_10cm_mean",1996-11-19,18.1,0,12.2,72.7,0,49.7,0.7,0,0,1.1,0.5,5,60,2.6,2.9,1.3,20.2,0,18.9,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,324,"obs_dyly_temp_air_max, obs_dyly_temp_air_min, obs_dyly_temp_air_mean, obs_dyly_relative_humidity_max, obs_dyly_relative_humidity_min, obs_dyly_relative_humidity_mean, obs_dyly_vpd_mean, obs_dyly_sol_rad_total, obs_dyly_wind_spd_mean, obs_dyly_wind_vector_magnitude, obs_dyly_wind_vector_dir, obs_dyly_wind_vector_dir_stand_dev, obs_dyly_wind_spd_max, obs_dyly_derived_eto_azmet, heat_units, obs_dyly_temp_soil_10cm_max, obs_dyly_temp_soil_10cm_min, obs_dyly_temp_soil_10cm_mean",1996-11-19,27.8,4.4,14.9,61.2,19.8,40.9,1.3,13.25,0,0.9,0,218,112,3.4,2.2,5.5,20.3,14.5,17.2,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,325,obs_dyly_derived_eto_azmet,1996-11-20,27.6,3.2,14.8,76.7,17.6,42.3,1.2,13.58,0,1,0,110,79,3,2.9,5.3,20.4,14.4,17.2,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,325,obs_dyly_derived_eto_azmet,1996-11-20,27.6,3.2,14.8,76.7,17.6,42.3,1.2,13.58,0,1,0,110,79,3,2.3,5.3,20.4,14.4,17.2,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,326,obs_dyly_derived_eto_azmet,1996-11-21,27.8,6.3,17.4,72.7,17.6,37.6,1.5,12.66,0,1.4,0.5,135,63,5.6,3.2,5.9,21.2,15.2,18.1,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,326,obs_dyly_derived_eto_azmet,1996-11-21,27.8,6.3,17.4,72.7,17.6,37.6,1.5,12.66,0,1.4,0.5,135,63,5.6,2.1,5.9,21.2,15.2,18.1,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,327,obs_dyly_derived_eto_azmet,1996-11-22,23.3,11.6,18.1,76.7,30.4,46.9,1.2,6.73,0,2.2,1,91,61,7.2,1.9,4.9,20.6,18.1,19.2,NA,NA,NA,NA,NA,NA
Harquahala,23,1996,327,obs_dyly_derived_eto_azmet,1996-11-22,23.3,11.6,18.1,76.7,30.4,46.9,1.2,6.73,0,2.2,1,91,61,7.2,0.3,4.9,20.6,18.1,19.2,NA,NA,NA,NA,NA,NA
Harquahala,23,2003,345,obs_dyly_precip_total,2003-12-11,15.6,-1.2,6.9,92.3,29.8,61.2,0.44,7.92,0,1.9,1.1,272,52,12.1,1.1,0.5,10.9,5.7,8.4,13.7,13.2,13.5,1.7,0.61,-0.7
Harquahala,23,2003,345,obs_dyly_precip_total,2003-12-11,15.6,-1.2,6.9,92.3,29.8,61.2,0.44,7.92,3.05,1.9,1.1,272,52,12.1,1.1,0.5,10.9,5.7,8.4,13.7,13.2,13.5,1.7,0.61,-0.7
Desert Ridge,27,2017,343,"obs_dyly_temp_air_max, obs_dyly_temp_air_min, obs_dyly_relative_humidity_max, obs_dyly_relative_humidity_min, heat_units, obs_dyly_derived_eto_pen_mon",2017-12-09,28.4,2.5,14.4,60.2,0.3,21.9,1.45,12.89,0,0.9,0.6,68,47,4.3,3,5.5,13.4,9.9,11.5,14.7,14.2,14.4,2,0.33,-8.3
Desert Ridge,27,2017,343,"obs_dyly_temp_air_max, obs_dyly_temp_air_min, obs_dyly_relative_humidity_max, obs_dyly_relative_humidity_min, heat_units, obs_dyly_derived_eto_pen_mon",2017-12-09,24.2,4.5,14.4,40.4,10.8,21.9,1.45,12.89,0,0.9,0.6,68,47,4.3,3,4,13.4,9.9,11.5,14.7,14.2,14.4,1.8,0.33,-8.3
